
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=22944, length=1031, survival=12.785%, return=144.72778131067753
SPS=51
global_step=23121, length=1205, survival=14.943%, return=345.11099833250046
global_step=23289, length=1261, survival=15.637%, return=137.08952993154526
global_step=23292, length=640, survival=7.937%, return=281.97478653490543
SPS=50
global_step=23412, length=1590, survival=19.717%, return=236.97785928845406
global_step=23499, length=701, survival=8.693%, return=9.20761439204216
SPS=51
global_step=23859, length=2578, survival=31.969%, return=781.0278051197529
global_step=23895, length=1101, survival=13.653%, return=35.159877717494965
global_step=23985, length=1096, survival=13.591%, return=261.32796600461006
SPS=50
global_step=24123, length=2606, survival=32.316%, return=25.447042256593704
global_step=24159, length=598, survival=7.416%, return=276.78282955288887
global_step=24237, length=2719, survival=33.718%, return=928.8039537519217
SPS=50
global_step=24387, length=568, survival=7.044%, return=26.154540359973907
global_step=24441, length=2532, survival=31.399%, return=846.3568666875362
global_step=24459, length=1631, survival=20.226%, return=519.0074397772551
global_step=24486, length=9, survival=0.112%, return=0.4717482030391693
global_step=24597, length=2296, survival=28.472%, return=993.0536927431822
SPS=50
global_step=24636, length=578, survival=7.168%, return=21.001171946525574
global_step=24642, length=743, survival=9.214%, return=152.02400070428848
global_step=24648, length=736, survival=9.127%, return=3.5381180942058563
global_step=24780, length=1394, survival=17.287%, return=140.13075652718544
global_step=24807, length=446, survival=5.531%, return=21.036382645368576
SPS=49
global_step=25002, length=3115, survival=38.628%, return=1048.24650862813
global_step=25080, length=430, survival=5.332%, return=8.180209338665009
global_step=25170, length=1090, survival=13.517%, return=256.8719253540039
SPS=49
global_step=25293, length=1026, survival=12.723%, return=24.32738769054413
global_step=25344, length=812, survival=10.069%, return=134.9290369451046
global_step=25395, length=34, survival=0.422%, return=10.587222397327423
global_step=25401, length=534, survival=6.622%, return=53.04984810948372
global_step=25419, length=810, survival=10.045%, return=-0.7388914972543716
global_step=25437, length=680, survival=8.433%, return=3.5836783051490784
global_step=25443, length=975, survival=12.091%, return=10.375787764787674
global_step=25461, length=1096, survival=13.591%, return=-1.1370187997817993
SPS=49
global_step=25506, length=695, survival=8.619%, return=122.96320873498917
global_step=25623, length=738, survival=9.152%, return=22.884075194597244
global_step=25743, length=745, survival=9.239%, return=100.81984531879425
global_step=25758, length=528, survival=6.548%, return=0.0012913644313812256
SPS=49
global_step=26076, length=1414, survival=17.535%, return=190.9152772128582
SPS=49
global_step=26118, length=436, survival=5.407%, return=4.811630383133888
global_step=26310, length=906, survival=11.235%, return=87.17663203179836
global_step=26346, length=531, survival=6.585%, return=-0.5825447738170624
SPS=49
global_step=26412, length=1009, survival=12.512%, return=141.76369988918304
global_step=26448, length=523, survival=6.486%, return=3.0475950837135315
global_step=26463, length=720, survival=8.929%, return=15.59293720126152
global_step=26553, length=551, survival=6.833%, return=11.28164654970169
global_step=26589, length=1095, survival=13.579%, return=187.6201373040676
global_step=26655, length=2546, survival=31.572%, return=68.55354881286621
SPS=49
global_step=26730, length=1112, survival=13.790%, return=7.2830014526844025
global_step=26823, length=804, survival=9.970%, return=40.801654264330864
global_step=26916, length=1389, survival=17.225%, return=404.8399928212166
global_step=26976, length=1546, survival=19.172%, return=5.292179465293884
global_step=26979, length=888, survival=11.012%, return=29.735545843839645
SPS=49
global_step=27102, length=1017, survival=12.612%, return=15.330078303813934
global_step=27138, length=1418, survival=17.584%, return=190.15744650363922
global_step=27141, length=1283, survival=15.910%, return=362.49306720495224
global_step=27216, length=714, survival=8.854%, return=85.36481446027756
SPS=48
global_step=27306, length=1016, survival=12.599%, return=297.97359135746956
global_step=27342, length=989, survival=12.264%, return=83.75436741113663
global_step=27345, length=2734, survival=33.904%, return=1133.7960244119167
global_step=27363, length=1391, survival=17.250%, return=195.1375124156475
global_step=27426, length=2530, survival=31.374%, return=632.2912949919701
global_step=27504, length=756, survival=9.375%, return=7.054867655038834
global_step=27534, length=1099, survival=13.628%, return=0.5915267765522003
global_step=27537, length=852, survival=10.565%, return=199.0735585987568
global_step=27585, length=528, survival=6.548%, return=2.9378481209278107
SPS=47
global_step=27609, length=986, survival=12.227%, return=-0.6608323156833649
global_step=27738, length=871, survival=10.801%, return=157.00362676382065
global_step=27774, length=380, survival=4.712%, return=1.377806395292282
